givenVideo,comparedVideo,distance
--DwgB78t-c,YcYb4Mg6Cyw,4
--DwgB78t-c,Yb8yjPgomGo,4
--DwgB78t-c,T5D8LnQTNCM,4
--DwgB78t-c,32WvYtltmoQ,4
--DwgB78t-c,Z5uGtvsc1JM,4
--DwgB78t-c,UvcD6ClCWiA,4
--DwgB78t-c,21vGFOhGZ9Y,4
--DwgB78t-c,6X8mGa-nkGY,4
--DwgB78t-c,2hnbUz-Bc08,4
--DwgB78t-c,7u292VH5Ajs,4
--DwgB78t-c,uC2mdnRvnIk,4
--DwgB78t-c,0hrjxJ9Fp84,4
--DwgB78t-c,0hRVipV7XRg,4
--DwgB78t-c,31UdTZLUc7g,4
--DwgB78t-c,6DzY2ZkdnoM,4
--DwgB78t-c,4hVZBeMfQcA,4
--DwgB78t-c,5duiUIlamV4,4
--DwgB78t-c,244BerEvHsQ,4
--DwgB78t-c,yh4O9FTvnKA,4
--DwgB78t-c,24J4VrUaBMg,4
--DwgB78t-c,31-23KYJcX0,4
--DwgB78t-c,4nB0w4zUcy8,4
--DwgB78t-c,6ATI2OQjtFE,4
--DwgB78t-c,88IcZJ-Gp8w,4
--DwgB78t-c,3GDunR8vXLU,4
--DwgB78t-c,7ztuRasziPw,4
--DwgB78t-c,1qG0szw6WVU,4
--DwgB78t-c,5cKkJr4zPgE,4
--DwgB78t-c,6_1-4j3IEY0,4
--DwgB78t-c,1E2HAQAD-9o,4
--DwgB78t-c,5dATd62sKxU,4
--DwgB78t-c,6_EFOZRN8pM,4
--DwgB78t-c,X2xXzRxTwyY,4
--DwgB78t-c,7OINPxRBAeg,4
--DwgB78t-c,25sUA0p4VmY,4
--DwgB78t-c,-pZWm4-0XE4,4
--DwgB78t-c,6A7gCHkN2i4,4
--DwgB78t-c,5WZJidVVI-I,4
--DwgB78t-c,1qYjwitHIWc,4
--DwgB78t-c,4n24fIiNHBY,4
--DwgB78t-c,5eJWeHkcTJU,4
--DwgB78t-c,6P6DA6sorZs,4
--DwgB78t-c,3DRvwvKEziY,4
--DwgB78t-c,3aMXnG7qX-Y,4
--DwgB78t-c,WsemKxxuZpo,4
--DwgB78t-c,6Firrm-OeiM,4
--DwgB78t-c,Z513GMrgn44,4
--DwgB78t-c,1Z4f3DSrD3I,4
--DwgB78t-c,11cAS7g9ois,4
--DwgB78t-c,30ZeORZfe0E,4
--DwgB78t-c,yh4O9FTvnKA,4
--DwgB78t-c,Xqw4LSJTZRE,4
